drug1,drug2
DB06605,DB09038
DB00492,DB01098
DB00695,DB06605
DB00284,DB00758
DB00222,DB06441
DB01162,DB08816
DB00227,DB00881
DB00973,DB08816
DB00175,DB06441
DB00457,DB09043
DB00227,DB00335
DB01195,DB08822
DB13919,DB14726
DB00175,DB00722
DB01124,DB01162
DB01432,DB11827
DB00331,DB06203
DB00491,DB00758
DB00975,DB01261
DB01162,DB14726
DB00063,DB00175
DB01076,DB06292
DB01261,DB06441
DB00175,DB00195
DB00457,DB09265
DB01195,DB06655
DB00722,DB09302
DB00492,DB06605
DB00966,DB09265
DB00999,DB01136
DB01197,DB09265
DB01136,DB06441
DB00284,DB01197
DB11936,DB15059
DB09265,DB14726
DB01039,DB12181
DB00175,DB01109
DB00489,DB00946
DB01029,DB01276
DB00584,DB09045
DB00881,DB01039
DB00930,DB01261
DB00627,DB00678
DB01067,DB15059
DB00881,DB09265
DB00222,DB00700
DB00177,DB06228
DB00727,DB09265
DB00275,DB11936
DB00758,DB13928
DB08882,DB12181
DB01136,DB12181
DB00912,DB01418
DB00881,DB11936
DB01095,DB15059
DB00331,DB06292
DB00491,DB00492
DB00227,DB00491
DB00627,DB15059
DB00284,DB00775
DB01029,DB08860
DB00641,DB09303
DB00672,DB08860
DB06228,DB09302
DB00973,DB01182
DB00975,DB06655
DB06228,DB09038
DB00775,DB06655
DB00682,DB00727
DB00375,DB00722
DB00491,DB08816
DB00063,DB01029
DB00627,DB01162
DB00491,DB01195
DB00375,DB08816
DB00841,DB00912
DB00945,DB01098
DB00489,DB06441
DB01162,DB12181
DB01076,DB06655
DB08816,DB15059
DB00775,DB00912
DB00722,DB01098
DB00275,DB11827
DB00457,DB06441
DB01182,DB11936
DB00275,DB06228
DB00682,DB01197
DB00571,DB00946
DB00491,DB06209
DB00946,DB01203
DB00722,DB01276
DB00682,DB08822
DB01132,DB15059
DB06655,DB15059
DB01197,DB09302
DB00930,DB11827
DB01054,DB11936
DB01136,DB09030
DB00973,DB08907
DB01418,DB09038
DB00881,DB06228
DB06209,DB11936
DB06292,DB09075
DB00881,DB00946
DB00641,DB00722
DB00063,DB13919
DB00775,DB09038
DB00584,DB01195
DB00999,DB11936
DB00457,DB08860
DB01193,DB06228
DB00177,DB00331
DB00758,DB11936
DB00678,DB00912
DB06209,DB06292
DB00584,DB08816
DB00973,DB09302
DB01076,DB01109
DB00841,DB01418
DB00375,DB00758
DB08816,DB11936
DB00275,DB01120
DB00284,DB00722
DB00722,DB00930
DB00966,DB09045
DB00641,DB01109
DB00584,DB09265
DB09043,DB15059
DB00335,DB01418
DB11936,DB13928
DB01095,DB08907
DB00457,DB01095
DB00195,DB06441
DB00775,DB01016
DB00491,DB00700
DB00175,DB00492
DB00195,DB01039
DB00841,DB00975
DB00627,DB09075
DB01054,DB12181
DB06203,DB08860
DB09043,DB14726
DB00727,DB12181
DB00775,DB01098
DB00930,DB09075
DB01067,DB12181
DB00946,DB01182
DB00375,DB00966
DB00375,DB00678
DB01067,DB06441
DB01203,DB11936
DB00275,DB00682
DB00063,DB00727
DB00841,DB06441
DB11936,DB12181
DB00571,DB12181
DB00678,DB08860
DB01162,DB13928
DB01095,DB11827
DB00839,DB11936
DB00881,DB06441
DB01095,DB09038
DB00641,DB14726
DB00678,DB11827
DB00722,DB01120
DB00491,DB15059
DB00457,DB01132
DB00222,DB06228
DB00491,DB01197
DB12181,DB14726
DB01276,DB11936
DB00775,DB01120
DB01124,DB12181
DB06203,DB06605
DB06228,DB15059
DB00678,DB00930
DB00841,DB01109
DB00727,DB01098
DB00175,DB01162
DB01197,DB09045
DB00381,DB00999
DB00775,DB06292
DB00775,DB09045
DB01029,DB09303
DB01023,DB12181
DB00641,DB00945
DB00678,DB09043
DB00722,DB11936
DB01054,DB14726
DB01076,DB01203
DB00641,DB00695
DB01432,DB14726
DB09265,DB09303
DB06335,DB15059
DB00612,DB12181
DB00973,DB01197
DB00491,DB00775
DB00331,DB08822
DB00227,DB00775
DB00063,DB09303
DB01432,DB08822
DB00331,DB01162
DB00284,DB00973
DB00195,DB09030
DB00722,DB08860
DB06441,DB09043
DB01095,DB09075
DB06292,DB14726
DB01095,DB09302
DB00063,DB01432
DB00627,DB06605
DB01136,DB08860
DB00222,DB00331
DB00227,DB01132
DB00966,DB13928
DB00063,DB00973
DB01162,DB11827
DB00457,DB01432
DB08860,DB09303
DB01115,DB08860
DB00682,DB11936
DB01197,DB06209
DB00491,DB06605
DB00208,DB00881
DB00672,DB01076
DB00331,DB08907
DB00973,DB06335
DB00457,DB09075
DB00492,DB01076
DB08860,DB11827
DB01203,DB06441
DB00491,DB01095
DB01418,DB11827
DB00973,DB01120
DB00284,DB08860
DB00731,DB00966
DB01039,DB01182
DB01039,DB08822
DB00584,DB09043
DB01162,DB01195
DB00421,DB01132
DB00175,DB06203
DB00284,DB11936
DB09075,DB11936
DB00421,DB00695
DB09075,DB15059
DB00175,DB00491
DB01182,DB06209
DB09075,DB13928
DB00492,DB00758
DB00912,DB06209
DB00930,DB09265
DB00284,DB00975
DB00227,DB01203
DB09265,DB12181
DB00727,DB01120
DB00839,DB06441
DB00975,DB01120
DB01095,DB09030
DB06441,DB15059
DB00975,DB08860
DB00489,DB01039
DB01276,DB09302
DB01076,DB01195
DB09038,DB14726
DB00489,DB00973
DB00612,DB14726
DB01029,DB06335
DB00177,DB14726
DB00641,DB01162
DB01197,DB06655
DB00227,DB00612
DB00275,DB00491
DB09043,DB09302
DB00722,DB06605
DB00946,DB01115
DB00700,DB09302
DB00492,DB01432
DB06605,DB09303
DB06605,DB08822
DB00492,DB01095
DB00881,DB01132
DB00841,DB00946
DB06655,DB09075
DB00758,DB01200
DB00375,DB01162
DB00063,DB00641
DB00275,DB06209
DB00912,DB06228
DB01109,DB01432
DB06203,DB14726
DB00275,DB00758
DB00335,DB00999
DB00222,DB00375
DB00641,DB13928
DB00841,DB09302
DB00700,DB08860
DB00678,DB14726
DB00175,DB00700
DB00700,DB01432
DB00727,DB01261
DB00727,DB11936
DB01197,DB13928
DB00489,DB06228
DB00695,DB12181
DB00975,DB12181
DB00177,DB09265
DB00731,DB00973
DB06292,DB11936
DB14726,DB15059
DB00571,DB08860
DB00381,DB11936
DB00999,DB13919
DB00841,DB01195
DB01432,DB09302
DB00881,DB09045
DB00335,DB11936
DB01098,DB12181
DB00381,DB00612
DB00758,DB12181
DB06335,DB11936
DB00758,DB00999
DB00584,DB00839
DB00421,DB12181
DB06335,DB06441
DB01120,DB06228
DB08822,DB13928
DB01195,DB01276
DB00775,DB01023
DB00571,DB09030
DB00175,DB06292
DB01029,DB06228
DB00491,DB08822
DB06209,DB09302
DB00727,DB08816
DB00584,DB09303
DB00175,DB08822
DB00457,DB01124
DB06209,DB08822
DB09075,DB11827
DB00421,DB14726
DB00275,DB09265
DB00227,DB00912
DB00457,DB01120
DB00678,DB00973
DB00584,DB06655
DB00627,DB01029
DB00966,DB01132
DB09075,DB13919
DB00695,DB08860
DB00492,DB08860
DB00841,DB06655
DB00758,DB01432
DB00063,DB00227
DB08822,DB09303
DB00700,DB01120
DB01432,DB11936
DB00227,DB00727
DB01197,DB01418
DB00421,DB01076
DB00331,DB01132
DB00700,DB01098
DB00727,DB06335
DB00612,DB00946
DB00457,DB12181
DB06605,DB09045
DB00227,DB12181
DB00946,DB11827
DB01195,DB09043
DB00264,DB00973
DB00177,DB09030
DB00775,DB00973
DB00841,DB01276
DB00381,DB06441
DB01162,DB06203
DB01132,DB01195
DB01195,DB08860
DB00491,DB01039
DB00584,DB14726
DB00966,DB06209
DB00758,DB00881
DB00775,DB01432
DB00335,DB00775
DB00682,DB09038
DB00457,DB01098
DB00284,DB01076
DB00375,DB00975
DB00063,DB00584
DB00489,DB00682
DB00063,DB00966
DB00641,DB08822
DB08822,DB08860
DB00584,DB09075
DB00375,DB01195
DB00284,DB06228
DB00375,DB06605
DB00492,DB00999
DB01132,DB14726
DB09075,DB09303
DB00727,DB01067
DB00839,DB14726
DB00222,DB15059
DB00973,DB06292
DB00758,DB06203
DB00571,DB00973
DB06441,DB12181
DB00335,DB14726
DB00177,DB09302
DB01120,DB01162
DB00682,DB00966
DB01124,DB15059
DB00627,DB00700
DB00421,DB08882
DB00489,DB00758
DB01195,DB09303
DB00381,DB01029
DB00381,DB00945
DB01193,DB06605
DB00063,DB00492
DB00175,DB12181
DB00946,DB00973
DB00912,DB08816
DB11827,DB13919
DB00682,DB15059
DB00227,DB00421
DB00208,DB00727
DB00758,DB11827
DB00695,DB09030
DB00489,DB08816
DB01432,DB08816
DB00421,DB00912
DB00195,DB11936
DB00227,DB09303
DB00375,DB00492
DB06209,DB15059
DB06292,DB06335
DB08816,DB08822
DB01418,DB06335
DB00375,DB01109
DB00973,DB01076
DB00727,DB01195
DB00177,DB12181
DB00881,DB01095
DB01039,DB15059
DB00727,DB01418
DB11827,DB15059
DB00375,DB09045
DB01054,DB06441
DB00457,DB01195
DB01276,DB06441
DB00700,DB12181
DB01432,DB09043
DB01029,DB09075
DB00682,DB00881
DB09043,DB11936
DB00227,DB01195
DB00584,DB00682
DB01276,DB06605
DB00222,DB00727
DB00063,DB00700
DB09030,DB13928
DB01197,DB01432
DB00331,DB01029
DB09302,DB15059
DB00966,DB09303
DB00222,DB01109
DB01132,DB06209
DB00491,DB14726
DB00722,DB09045
DB00973,DB01109
DB00335,DB00758
DB06209,DB11827
DB11827,DB12181
DB00727,DB00912
DB00457,DB00672
DB06292,DB08816
DB00841,DB06605
DB00775,DB01136
DB00973,DB06228
DB01039,DB09045
DB01432,DB06605
DB00584,DB00775
DB01095,DB09045
DB00195,DB00227
DB01132,DB12181
DB00678,DB13928
DB00839,DB00975
DB00584,DB06605
DB01162,DB08860
DB06203,DB13919
DB00641,DB15059
DB00177,DB09075
DB00175,DB00775
DB08816,DB13928
DB00375,DB00930
DB00758,DB09045
DB00881,DB01432
DB01432,DB09075
DB00175,DB01039
DB00975,DB01276
DB00975,DB01195
DB06441,DB09302
DB00412,DB00881
DB08816,DB09038
DB01132,DB08816
DB00758,DB15059
DB00177,DB09045
DB00284,DB01195
DB00775,DB01095
DB00208,DB09045
DB09045,DB09075
DB00758,DB01197
DB06605,DB09265
DB00700,DB09045
DB08860,DB09038
DB00727,DB01016
DB00331,DB06605
DB01120,DB15059
DB00227,DB00457
DB00930,DB09303
DB00641,DB01200
DB06441,DB08907
DB00627,DB13919
DB01095,DB06292
DB09043,DB13919
DB00421,DB08816
DB00275,DB01095
DB06228,DB09045
DB01195,DB09075
DB00227,DB00722
DB01109,DB01276
DB00973,DB14726
DB00177,DB09043
DB00335,DB00946
DB01197,DB06441
DB00457,DB00682
DB00627,DB06441
DB09043,DB12181
DB00375,DB09303
DB08822,DB09030
DB00672,DB11936
DB00335,DB12181
DB01261,DB01418
DB01162,DB09075
DB08860,DB12181
DB00775,DB08882
DB00177,DB06441
DB06228,DB09303
DB00946,DB15059
DB00284,DB01162
DB00678,DB11936
DB09043,DB09075
DB00457,DB01261
DB01195,DB13928
DB00966,DB01124
DB00331,DB12181
DB00946,DB01162
DB00208,DB00375
DB00775,DB00966
DB00841,DB09038
DB00421,DB00946
DB00177,DB01276
DB00492,DB00627
DB01039,DB14726
DB06209,DB08860
DB00695,DB00758
DB00208,DB01200
DB01109,DB01261
DB00641,DB00678
DB01276,DB08816
DB00227,DB01136
DB00227,DB08907
DB00492,DB01276
DB00284,DB01095
DB00175,DB09045
DB00841,DB01095
DB00208,DB08822
DB00999,DB01095
DB00612,DB00758
DB00227,DB00264
DB00973,DB15059
DB01162,DB09045
DB06605,DB11827
DB09043,DB09303
DB00775,DB01076
DB01115,DB14726
DB00973,DB09030
DB00284,DB00682
DB06655,DB09030
DB01193,DB08816
DB00627,DB00722
DB01076,DB14726
DB00222,DB00421
DB00457,DB00731
DB00063,DB00177
DB00175,DB01203
DB00489,DB06605
DB00731,DB06441
DB00678,DB09302
DB01109,DB11827
DB06605,DB09043
DB00973,DB01261
DB00973,DB01203
DB01200,DB14726
DB01039,DB13928
DB08860,DB11936
DB01039,DB01276
DB01261,DB14726
DB00758,DB09265
DB01136,DB14726
DB00881,DB08816
DB09030,DB13919
DB01109,DB01195
DB01132,DB06441
DB00973,DB01098
DB01261,DB11827
DB06605,DB08860
DB00457,DB06203
DB00457,DB14726
DB00881,DB08860
DB01203,DB14726
DB08816,DB11827
DB01132,DB09075
DB00264,DB01098
DB00457,DB01016
DB00973,DB11827
DB00491,DB00584
DB00966,DB09030
DB00912,DB09030
DB01195,DB01197
DB00421,DB09043
DB00421,DB11936
DB08822,DB09045
DB00930,DB01276
DB00973,DB01124
DB00973,DB01200
DB00881,DB01276
DB09303,DB11827
DB00881,DB06605
DB01029,DB06203
DB00966,DB01095
DB01039,DB09303
DB01120,DB01197
DB00946,DB06203
DB09045,DB12181
DB01200,DB06605
DB09265,DB11936
DB09045,DB15059
DB01109,DB09043
DB00722,DB14726
DB00571,DB14726
DB00457,DB00930
DB00700,DB09030
DB06335,DB13919
DB01095,DB06655
DB01200,DB06228
DB01162,DB06209
DB00839,DB00881
DB00727,DB00973
DB00375,DB08822
DB01124,DB08822
DB01193,DB06441
DB06203,DB12181
DB00175,DB00727
DB00700,DB13928
DB00381,DB00775
DB00627,DB00975
DB00722,DB06441
DB00208,DB09043
DB00627,DB06228
DB00284,DB01029
DB08907,DB12181
DB00722,DB01016
DB01023,DB06441
DB00682,DB00912
DB01076,DB01276
DB01432,DB06655
DB00584,DB00946
DB01182,DB12181
DB00375,DB00727
DB00492,DB11936
DB01276,DB09030
DB00208,DB06292
DB01195,DB15059
DB00284,DB00421
DB00284,DB12181
DB01132,DB08860
DB00284,DB00881
DB01039,DB06441
DB00775,DB01195
DB01029,DB01432
DB08816,DB09265
DB00775,DB01054
DB00946,DB12181
DB08860,DB13928
DB00775,DB13919
DB00375,DB00421
DB00284,DB00457
DB00492,DB01120
DB00727,DB06228
DB00627,DB11936
DB00275,DB00672
DB00700,DB09303
DB00331,DB08882
DB00584,DB01276
DB00695,DB11936
DB06441,DB08860
DB00208,DB06655
DB01076,DB09038
DB00489,DB09075
DB01029,DB06655
DB00758,DB06655
DB00700,DB14726
DB01076,DB09303
DB06228,DB13928
DB00063,DB00930
DB00492,DB09043
DB00966,DB11936
DB08822,DB09302
DB00222,DB09303
DB08860,DB13919
DB00412,DB15059
DB08882,DB11936
DB00457,DB00946
DB01039,DB09302
DB00881,DB13928
DB00381,DB00722
DB00208,DB00584
DB01197,DB09030
DB08822,DB14726
DB00727,DB08860
DB00335,DB01115
DB00491,DB12181
DB00839,DB00966
DB00678,DB12181
DB00841,DB01432
DB01039,DB01162
DB00492,DB06441
DB01124,DB14726
DB00175,DB15059
DB09303,DB13919
DB01016,DB14726
DB00264,DB14726
DB00881,DB00999
DB00331,DB15059
DB00727,DB14726
DB00758,DB08822
DB00930,DB01109
DB00627,DB00945
